CLASS	A	B	C	D	E	F	G	H	I	J	K	L	M	N
C	-2.254413499	-0.591009066	2.821588914	5.015993112	3.948078634	-1.292129305	0.02231796	2.059525933	-4.410203569	1.35631841	0.749807494	29.043	33.86241667	-1.86899205
C	2.821588914	-1.292129305	0.02231796	5.015993112	1.35631841	3.948078634	0.749807494	-2.254413499	2.059525933	-0.591009066	-4.410203569	23.49	26.14	-2.303313437
C	-4.410203569	0.02231796	2.059525933	5.015993112	-0.591009066	0.749807494	-2.254413499	-1.292129305	1.35631841	3.948078634	2.821588914	29.34	31.67416667	-2.245873051
C	3.948078634	-4.410203569	-1.292129305	2.821588914	5.015993112	2.059525933	0.749807494	-0.591009066	-2.254413499	0.02231796	1.35631841	36.16	34.89916667	-2.559670638
C	-2.254413499	0.02231796	0.749807494	5.015993112	3.948078634	-1.292129305	2.059525933	1.35631841	-4.410203569	-0.591009066	2.821588914	27.49	30.7725	-2.071950263
C	0.02231796	2.059525933	1.35631841	5.015993112	3.948078634	-2.254413499	2.821588914	-1.292129305	-4.410203569	0.749807494	-0.591009066	33.6	34.32583333	-2.093998883
C	5.015993112	0.749807494	2.059525933	3.948078634	2.821588914	0.02231796	1.35631841	-2.254413499	-4.410203569	-1.292129305	-0.591009066	39.16	34.2325	-2.040199435
C	2.821588914	0.02231796	-0.591009066	3.948078634	5.015993112	1.35631841	2.059525933	-2.254413499	-4.410203569	-1.292129305	0.749807494	35.58	32.00083333	-2.106207819
C	1.35631841	5.015993112	2.059525933	2.821588914	0.749807494	-0.591009066	-4.410203569	-2.254413499	-1.292129305	3.948078634	0.02231796	33.54	34.09583333	-2.392107762
C	2.059525933	1.35631841	-0.591009066	2.059525933	2.059525933	0.749807494	5.015993112	-1.292129305	-2.254413499	-4.410203569	0.02231796	38.33	33.61333333	-1.240514852
C	5.015993112	2.059525933	0.02231796	3.948078634	0.749807494	2.821588914	-0.591009066	-1.292129305	-2.254413499	-4.410203569	1.35631841	34.32	34.65083333	-2.51595608
C	2.059525933	0.749807494	-0.591009066	1.35631841	2.059525933	0.02231796	5.015993112	-1.292129305	-4.410203569	-2.254413499	2.059525933	37.41	36.34583333	-2.60521009
C	3.948078634	-2.254413499	0.02231796	5.015993112	2.821588914	1.35631841	0.749807494	-1.292129305	-4.410203569	-0.591009066	2.059525933	23.66	27.765	-2.163450878
C	3.948078634	1.35631841	0.749807494	3.948078634	-2.254413499	-1.292129305	2.059525933	-0.591009066	-4.410203569	0.02231796	2.821588914	35.03	35.15916667	-2.257452484
C	0.749807494	-2.254413499	0.02231796	5.015993112	2.821588914	2.059525933	1.35631841	-2.254413499	-4.410203569	-0.591009066	3.948078634	21.4	24.56083333	-2.131304583
C	2.821588914	-0.591009066	0.02231796	3.948078634	2.059525933	1.35631841	0.749807494	-1.292129305	-2.254413499	-4.410203569	5.015993112	30	30.9725	-2.240262242
C	1.35631841	-2.254413499	0.749807494	3.948078634	5.015993112	-1.292129305	2.821588914	0.02231796	-4.410203569	-0.591009066	2.059525933	26.57	30.65	-1.867094452
C	0.02231796	-0.591009066	2.059525933	5.015993112	2.821588914	1.35631841	0.749807494	-2.254413499	-4.410203569	-1.292129305	3.948078634	27.32	32.42166667	-2.047817781
C	3.948078634	1.35631841	-4.410203569	0.749807494	5.015993112	-0.591009066	2.059525933	-1.292129305	-2.254413499	0.02231796	2.821588914	13.28	31.18916667	-1.334327741
C	5.015993112	-0.591009066	-1.292129305	2.059525933	3.948078634	1.35631841	2.821588914	-2.254413499	-4.410203569	0.749807494	0.02231796	30.16	30.72083333	-2.080648174
C	-0.591009066	2.059525933	0.02231796	5.015993112	2.821588914	-2.254413499	3.948078634	-1.292129305	-4.410203569	1.35631841	0.749807494	31.54	30.5175	-1.873616543
C	2.059525933	0.02231796	-0.591009066	2.821588914	3.948078634	-1.292129305	3.948078634	-2.254413499	-4.410203569	0.749807494	1.35631841	32.58	32.25083333	-1.908377
C	2.059525933	0.02231796	-0.591009066	3.948078634	5.015993112	0.749807494	2.821588914	-2.254413499	-4.410203569	-2.254413499	1.35631841	36.04	33.65666667	-2.214703772
C	-0.591009066	-2.254413499	0.749807494	5.015993112	3.948078634	2.059525933	1.35631841	-0.591009066	-4.410203569	-1.292129305	2.821588914	29.45	30.25416667	-2.313934141
C	0.749807494	-1.292129305	-0.591009066	5.015993112	3.948078634	2.821588914	1.35631841	0.02231796	-4.410203569	-2.254413499	2.059525933	29.35	30.19416667	-2.171855931
C	0.749807494	-2.254413499	-1.292129305	3.948078634	5.015993112	2.821588914	2.059525933	-0.591009066	-4.410203569	0.02231796	1.35631841	31.84	32.48333333	-2.244807727
C	2.059525933	0.02231796	-4.410203569	5.015993112	3.948078634	2.821588914	1.35631841	-0.591009066	-2.254413499	-1.292129305	0.749807494	33.81	31.35916667	-2.375708739
C	2.821588914	1.35631841	-1.292129305	2.059525933	3.948078634	-0.591009066	5.015993112	-2.254413499	-4.410203569	0.02231796	0.749807494	30.91	30.085	-1.916539114
C	-0.591009066	-1.292129305	-2.254413499	3.948078634	5.015993112	2.059525933	2.821588914	0.02231796	-4.410203569	1.35631841	0.749807494	32.71	32.545	-2.317122094
C	2.821588914	1.35631841	5.015993112	0.749807494	-2.254413499	-0.591009066	2.059525933	3.948078634	-1.292129305	-4.410203569	0.02231796	26.38	24.22083333	-0.95816209
